customer_id,name,age_group,city,signup_date
1,İlkin Şirinov,55+,Bakı,2023-09-20
2,Kamran Nəsirov,18-24,Bakı,2022-01-17
3,Mələk Novruzova,45-54,Mingəçevir,2022-07-10
4,Kənan Zeynalov,35-44,Lənkəran,2022-08-27
5,Səidə Şirinova,18-24,Gəncə,2023-04-10
6,Səbinə Rzayeva,35-44,Mingəçevir,2022-08-25
7,Fərid Əhmədov,35-44,Lənkəran,2024-04-25
8,Xanım Rəhimova,18-24,Bakı,2022-06-22
9,Nicat Əliyev,25-34,Bakı,2022-12-14
10,Vüqar Xəlilov,45-54,Bakı,2022-09-16
11,Kənan Nəbiyev,25-34,Bakı,2021-10-28
12,Nurlan Rzayev,25-34,Sumqayıt,2024-01-31
13,Cəlal İsmayılov,25-34,Bakı,2022-01-22
14,Şəbnəm Əliyeva,25-34,Gəncə,2022-05-03
15,Aygün Nəsirova,45-54,Bakı,2024-07-25
16,Sənan Novruzov,45-54,Bakı,2025-04-08
17,Rəna Süleymanova,18-24,Şəki,2024-01-07
18,Xəyalə İsmayılova,55+,Bakı,2025-02-13
19,Könül Vəliyeva,45-54,Bakı,2024-11-03
20,Nuranə Sadıqova,25-34,Bakı,2023-03-01
21,Nərmin Əhmədova,45-54,Gəncə,2024-06-18
22,Kamran Abbasov,18-24,Gəncə,2022-06-24
23,Nurlan Zeynalov,55+,Gəncə,2023-01-27
24,Ulduz Abbasova,35-44,Bakı,2023-05-30
25,İlkin Quliyev,35-44,Bakı,2025-04-27
26,Pərvanə Məmmədova,18-24,Mingəçevir,2024-10-25
27,Rövşən Sadıqov,45-54,Sumqayıt,2023-03-15
28,Vüqar Tağıyev,18-24,Sumqayıt,2023-12-08
29,Mələk Musayeva,25-34,Sumqayıt,2021-11-29
30,Ülviyyə Quliyeva,18-24,Mingəçevir,2024-08-13
31,İlkin Vəliyev,45-54,Bakı,2023-06-28
32,Kamran Tağıyev,18-24,Bakı,2023-05-25
33,Rüfət Musayev,45-54,Gəncə,2024-06-12
34,Rövşən Abbasov,35-44,Bakı,2023-11-06
35,Aynur Şirinova,18-24,Mingəçevir,2021-04-29
36,Aytən Babayeva,18-24,Gəncə,2022-04-19
37,Elvin Rəhimov,18-24,Mingəçevir,2021-10-18
